sample_ID	compound	CIF file name	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	coordination_number	number_of_ligands	coordination_elements	T_B3	Ueff	T_hyst	DOI	reference	link_to_CIF
35	[Zn(Î¼-L)2Dy(NO3)3]nÂ·solvents	643254.cif	TM near Ln	Dy3+	Oblate	Kramers	NA	5	Oxygen	NA	NA	NA	10.1007/s11426-007-0076-y	Zhang, W., Zhao, F., Liu, T. & Gao, S. 2007 Syntheses, structures and magnetic properties of a family of one-dimensional M(II)-lanthanide(III) (M = Ni(II) and Zn(II)) coordination polymers. Science in China Series B: Chemistry 50, 308â€“317. (doi:10.1007/s11426-007-0076-y)	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=643254
51	[Er(SiW11O39)2]13-	ic801630z_si_003_Er.cif	POM	Er3+	Prolate	Kramers	8	2	Oxygen	NA	NA	NA	10.1021/ic801630z	AlDamen, M. A., Cardona-Serra, S., Clemente-Juan, J. M., Coronado, E., Gaita-Ariǹƒo, A., Martì-Gastaldo, C., Luis, F. & Montero, O. 2009 Mononuclear Lanthanide Single Molecule Magnets Based on the Polyoxometalates [Ln(W5O18)2]9âˆ’and [Ln(Î²2-SiW11O39)2]13âˆ’(LnIII= Tb, Dy, Ho, Er, Tm, and Yb). Inorganic Chemistry 48, 3467â€“3479. (doi:10.1021/ic801630z)	http://www.crystallography.net/cod/result/?doi=10.1021/ic801630z
52	[Tm(SiW11O39)2]13-	ic801630z_si_003_Tm.cif	POM	Tm3+	Prolate	Non-Kramers	8	2	Oxygen	NA	NA	NA	10.1021/ic801630z	AlDamen, M. A., Cardona-Serra, S., Clemente-Juan, J. M., Coronado, E., Gaita-Ariǹƒo, A., Martì-Gastaldo, C., Luis, F. & Montero, O. 2009 Mononuclear Lanthanide Single Molecule Magnets Based on the Polyoxometalates [Ln(W5O18)2]9âˆ’and [Ln(Î²2-SiW11O39)2]13âˆ’(LnIII= Tb, Dy, Ho, Er, Tm, and Yb). Inorganic Chemistry 48, 3467â€“3479. (doi:10.1021/ic801630z)	http://www.crystallography.net/cod/result/?doi=10.1021/ic801630z
56	[Tb(FTA)3L]	752496.cif	Schiff Base	Tb3+	Oblate	Non-Kramers	8	4	Oxygen+Nitrogen	NA	NA	NA	10.1039/b924547b	Li, D.-P., Wang, T.-W., Li, C.-H., Liu, D.-S., Li, Y.-Z. & You, X.-Z. 2010 Single-ion magnets based on mononuclear lanthanide complexes with chiral Schiff base ligands [Ln(FTA)3L] (Ln = Sm, Eu, Gd, Tb and Dy). Chemical Communications 46, 2929. (doi:10.1039/b924547b)	http://www.crystallography.net/cod/result/?doi=10.1039/b924547b
201	ErIIIâˆ’N,Nâ€²-bis-pyridin-2-yl-methelene-1,8-diamino-3,6-dioxaoctane	ic400098c_si_032.cif	Mixed Ligands	Er3+	Prolate	Kramers	NA	3	Oxygen+Nitrogen	NA	NA	NA	10.1021/ic400098c	Campbell, V. E., Guillot, R., Riviere, E., Brun, P.-T., Wernsdorfer, W. & Mallah, T. 2013 Subcomponent Self-Assembly of Rare-Earth Single-Molecule Magnets. Inorganic Chemistry 52, 5194â€“5200. (doi:10.1021/ic400098c)	http://www.crystallography.net/cod/result/?doi=10.1021/ic400098c
954	(Pc)Tb{Pc[N(C4H9)2]8}	1524821_N_Tb.cif	LnPc2	Tb3+	Oblate	Non-Kramers	8	2	Nitrogen	45	939	30	10.1021/acs.inorgchem.7b02010	Chen, Y. et al. 2017 A New Bis(phthalocyaninato) Terbium Single-Ion Magnet with an Overall Excellent Magnetic Performance. Inorganic Chemistry 56, 13889â€“13896. (doi:10.1021/acs.inorgchem.7b02010)	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1524821
993	[(Cpttt)2Dy][B(C6F5)4]	1551848.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	1837.3	60	10.1002/anie.201705426	Guo, F.-S., Day, B. M., Chen, Y.-C., Tong, M.-L., MansikkamĂ¤ki, A. & Layfield, R. A. 2017 A Dysprosium Metallocene Single-Molecule Magnet Functioning at the Axial Limit. Angewandte Chemie International Edition 56, 11445â€“11449. (doi:10.1002/anie.201705426)	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1551848
1029	[Ho(W5O18)2]9-	ic6b02312_si_002_Ho.cif	POM	Ho3+	Oblate	Non-Kramers	8	2	Oxygen	NA	NA	NA	10.1021/acs.inorgchem.6b02312	Vonci, M. et al. 2016 Magnetic Excitations in Polyoxotungstate-Supported Lanthanoid Single-Molecule Magnets: An Inelastic Neutron Scattering and ab Initio Study. Inorganic Chemistry 56, 378â€“394. (doi:10.1021/acs.inorgchem.6b02312)	http://www.crystallography.net/cod/result/?doi=10.1021/acs.inorgchem.6b02312
1103	(Dsp)Er(COT)	1835955.cif	Mixed Ligands	Er3+	Prolate	Kramers	2	2	Carbon (aromatic rings)	23	358	9	10.1039/c8sc01626g	Chen, S.-M., Xiong, J., Zhang, Y.-Q., Yuan, Q., Wang, B.-W. & Gao, S. 2018 A soft phosphorus atom to â€˜hardenâ€™ an erbium(iii) single-ion magnet. Chemical Science 9, 7540â€“7545. (doi:10.1039/c8sc01626g)	http://www.crystallography.net/cod/result/?doi=10.1039/c8sc01626g
1289	[Dy(LE)(4-MeO-PhO)2](BPh4)Â·3THF	1937911.cif	Schiff Base	Dy3+	Oblate	Kramers	8	3	Oxygen+Nitrogen	65	1338	6	10.1002/chem.201904325	Li, Z., Zhai, Y., Chen, W., Ding, Y. & Zheng, Y. 2019 Airâ€Stable Hexagonal Bipyramidal Dysprosium(III) Singleâ€Ion Magnets with Nearly Perfect            D                          6              h                        Local Symmetry. Chemistry â€“ A European Journal 25, 16219â€“16224. (doi:10.1002/chem.201904325)	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1937907
94	[DyIII(COT‚Äò‚Äô)2Li(THF)(DME)]	4107178.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	18	NA	10.1021/ja207891y	Jeletic, M., Lin, P.-H., Le Roy, J. J., Korobkov, I., Gorelsky, S. I. & Murugesu, M. 2011 An Organometallic Sandwich Lanthanide Single-Ion Magnet with an Unusual Multiple Relaxation Mechanism. Journal of the American Chemical Society 133, 19286‚Äì19289. (doi:10.1021/ja207891y)	http://www.crystallography.net/cod/result/?doi=10.1021/ja207891y
102	(Cp*)Dy(COT)	4328536.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	4.8	25.4	NA	10.1021/ic202511n	Jiang, S.-D., Liu, S.-S., Zhou, L.-N., Wang, B.-W., Wang, Z.-M. & Gao, S. 2012 Series of Lanthanide Organometallic Single-Ion Magnets. Inorganic Chemistry 51, 3079‚Äì3087. (doi:10.1021/ic202511n)	http://www.crystallography.net/cod/result/?doi=10.1021/ic202511n
202	[DyIII(COT‚Ä≥)2]Li(DME)3	4119398.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	8	25	NA	10.1021/ja310642h	Le Roy, J. J., Jeletic, M., Gorelsky, S. I., Korobkov, I., Ungur, L., Chibotaru, L. F. & Murugesu, M. 2013 An Organometallic Building Block Approach To Produce a Multidecker 4f Single-Molecule Magnet. Journal of the American Chemical Society 135, 3502‚Äì3510. (doi:10.1021/ja310642h)	http://www.crystallography.net/cod/result/?doi=10.1021/ja310642h
260	[K(18-crown-6)][Dy(COT)2]	4121213.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	12.96	NA	10.1021/ja4094814	Meihaus, K. R. & Long, J. R. 2013 Magnetic Blocking at 10 K and a Dipolar-Mediated Avalanche in Salts of the Bis(Œ∑8-cyclooctatetraenide) Complex [Er(COT)2]‚àí. Journal of the American Chemical Society 135, 17952‚Äì17957. (doi:10.1021/ja4094814)	http://www.crystallography.net/cod/result/?doi=10.1021/ja4094814
294	[K(18-crown-6)][Dy(COT)2]	961013.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	11	1.8	10.1002/anie.201310451	Ungur, L., Le Roy, J. J., Korobkov, I., Murugesu, M. & Chibotaru, L. F. 2014 Fine-tuning the Local Symmetry to Attain Record Blocking Temperature and Magnetic Remanence in a Single-Ion Magnet. Angewandte Chemie International Edition 53, 4413‚Äì4417. (doi:10.1002/anie.201310451)	http://www.crystallography.net/cod/result/?doi=10.1002/anie.201310451
710	[(C5H5BH)Dy(COT)]	4349461.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	43	NA	10.1039/c6qi00028b	Meng, Y.-S., Wang, C.-H., Zhang, Y.-Q., Leng, X.-B., Wang, B.-W., Chen, Y.-F. & Gao, S. 2016 (Boratabenzene)(cyclooctatetraenyl) lanthanide complexes: a new type of organometallic single-ion magnet. Inorganic Chemistry Frontiers 3, 828‚Äì835. (doi:10.1039/c6qi00028b)	http://www.crystallography.net/cod/result/?doi=10.1039/c6qi00028b
711	[(C5H5BMe)Dy(COT)]	4349462.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	37	NA	10.1039/c6qi00028b	Meng, Y.-S., Wang, C.-H., Zhang, Y.-Q., Leng, X.-B., Wang, B.-W., Chen, Y.-F. & Gao, S. 2016 (Boratabenzene)(cyclooctatetraenyl) lanthanide complexes: a new type of organometallic single-ion magnet. Inorganic Chemistry Frontiers 3, 828‚Äì835. (doi:10.1039/c6qi00028b)	http://www.crystallography.net/cod/result/?doi=10.1039/c6qi00028b
712	[(C5H5BNEt2)Dy(COT)]	4349463.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	29	NA	10.1039/c6qi00028b	Meng, Y.-S., Wang, C.-H., Zhang, Y.-Q., Leng, X.-B., Wang, B.-W., Chen, Y.-F. & Gao, S. 2016 (Boratabenzene)(cyclooctatetraenyl) lanthanide complexes: a new type of organometallic single-ion magnet. Inorganic Chemistry Frontiers 3, 828‚Äì835. (doi:10.1039/c6qi00028b)	http://www.crystallography.net/cod/result/?doi=10.1039/c6qi00028b
973	[Dy(Cpttt)2][B(C6F5)4]	1542354.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	NA	1760	60	10.1038/nature23447	Goodwin, C. A. P., Ortu, F., Reta, D., Chilton, N. F. & Mills, D. P. 2017 Molecular magnetic hysteresis at 60 kelvin in dysprosocenium. Nature 548, 439‚Äì442. (doi:10.1038/nature23447)	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1542354
1390	[Dy(Dtp)2][Al{OC(CF3)3}4]	1957222.cif	Metallocene	Dy3+	Oblate	Kramers	2	2	Carbon (aromatic rings)	96	1760	48	10.1021/jacs.9b11515	Evans, P., Reta, D., Whitehead, G. F. S., Chilton, N. F. & Mills, D. P. 2019 Bis-Monophospholyl Dysprosium Cation Showing Magnetic Hysteresis at 48 K. Journal of the American Chemical Society 141, 19935‚Äì19940. (doi:10.1021/jacs.9b11515)	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=195722
